"","V1","V2","V3"
"1",2.57839699293415e-06,-19.0228791779729,3.71419184642868e-05
"2",2.55876832597049e-06,-21.3168527755442,4.06197590290387e-05
"3",1.8571789341565e-06,-18.8779697101181,3.72100660259897e-05
"4",1.95565359076523e-06,-20.4627748500284,3.96464747703957e-05
"5",1.50810785423355e-06,-19.8601521317538,3.95371059683764e-05
"6",2.43411364256658e-06,-21.0443902268719,3.93711474508545e-05
"7",1.53041701388851e-06,-20.3298118238786,4.03057027014472e-05
"8",1.74003927984649e-06,-20.9527108288123,3.92717164935013e-05
"9",3.29634352411642e-06,-20.1142333389563,3.86629445336095e-05
"10",1.73373644489589e-06,-19.2047274412604,3.69217008885797e-05
"11",2.43018436727112e-06,-21.0078617219619,4.10636128179714e-05
"12",2.36573789797212e-06,-20.5671488033286,3.9497114408574e-05
"13",1.85242889110631e-06,-18.4161550669341,3.69965004683249e-05
"14",1.4477688936214e-06,-19.1970480519833,3.81188436220596e-05
"15",2.56682745540654e-06,-19.94549294849,3.83539801597763e-05
"16",2.14958012646043e-06,-21.8670897403113,4.07331289734272e-05
"17",2.27699893368283e-06,-20.8988890794337,4.13728944116943e-05
"18",2.25783112291791e-06,-19.9544833087737,3.89175735530832e-05
"19",2.29319206098027e-06,-21.9711880087254,4.09368085079161e-05
"20",1.87322415877004e-06,-18.9116697056182,3.72071581201488e-05
"21",2.54120330287631e-06,-21.9544356020346,4.21820841484831e-05
"22",2.28322817477003e-06,-20.3443831746129,4.12186341820688e-05
"23",1.04002407013872e-06,-20.9753086986955,4.00461528055156e-05
"24",1.84235180734851e-06,-18.7904045762238,3.89134058052001e-05
"25",2.85392018066231e-06,-21.3066958773814,3.98844639654944e-05
"26",2.196484829656e-06,-21.8934625211907,4.10017662648247e-05
"27",1.5192422583027e-06,-19.7644153781949,3.86264811556637e-05
"28",1.75129949627953e-06,-21.4137138426007,4.0544688921274e-05
"29",6.40960504210894e-07,-21.4563386059404,4.24697944980953e-05
"30",1.49321090735145e-06,-21.5608322178717,4.22895092140131e-05
"31",2.21991040835568e-06,-19.9629106444305,3.84210396036972e-05
"32",1.40666971344504e-06,-18.9582086733562,3.80099395459244e-05
"33",2.5155271837473e-06,-21.1134987791711,3.98834412391885e-05
"34",2.78914727052445e-06,-20.8565486947844,3.94209364718031e-05
"35",9.36880045884625e-07,-19.2324171654291,3.91482508336328e-05
"36",2.52698720914909e-06,-21.9275902681029,4.08757463811115e-05
"37",1.35081331957353e-06,-21.0282189489909,4.11087749409029e-05
"38",1.38207325758106e-06,-21.4493762551198,4.17928898897246e-05
"39",1.85252640372488e-06,-19.9020037270465,3.96323142046228e-05
"40",1.68660940140467e-06,-21.4193182323111,4.25248255309704e-05
"41",2.56360453646854e-06,-19.5978500154341,3.76037091870449e-05
"42",2.356787678235e-06,-19.1822618357013,3.72944496537738e-05
"43",2.97541570255959e-06,-19.9437349788691,3.77172954257592e-05
"44",1.259367224352e-06,-19.8355875805211,3.95568726478528e-05
"45",2.39383904775956e-06,-20.6056741968101,3.82197038943321e-05
"46",1.24882516191939e-06,-19.8914398243397,3.95730158675389e-05
"47",1.48759130853305e-06,-20.3253415922745,4.00340945683821e-05
"48",2.03907049123659e-06,-21.1464057469547,3.9818848592327e-05
"49",1.51444388803775e-06,-19.646269842058,3.93789728585107e-05
"50",7.41767399600499e-07,-20.429395403754,4.16246997448001e-05
"51",2.39207060402342e-06,-21.1220689755378,4.00034268869861e-05
"52",1.89154358938128e-06,-21.1758565801458,4.13742289270584e-05
"53",2.27815192659779e-06,-20.9925002221282,4.09485917830429e-05
"54",2.20876672188894e-06,-20.6791042151446,3.8383687324451e-05
"55",1.81702446578714e-06,-20.1216771714097,3.99589080961443e-05
"56",2.76726470917472e-06,-20.4166990948632,3.95634952634211e-05
"57",2.22797481076679e-06,-21.7207663539711,4.23345929342658e-05
"58",2.24231684168346e-06,-21.0765594526405,4.01348555338199e-05
"59",1.95766465102513e-06,-21.9399429436889,4.24858166024686e-05
"60",2.68392814724944e-06,-20.8572899832974,4.03303675371845e-05
"61",1.35166380585704e-06,-20.8548282870411,4.11930201051894e-05
"62",1.08213083862471e-06,-21.0273182433083,4.19841553751655e-05
"63",2.72070393961219e-06,-20.6393642598033,4.00185461375777e-05
"64",1.81591141730664e-06,-20.044035933243,3.93036109251311e-05
"65",2.2123887553909e-06,-21.4925555452065,4.11127878712988e-05
"66",1.60725020180892e-06,-20.1915333829206,3.88023679577177e-05
"67",2.37698221759913e-06,-19.9249911891831,3.79300188151531e-05
"68",3.14185526482781e-06,-20.4445509815499,3.86935419485111e-05
"69",1.42123306630099e-06,-20.2348913224874,3.98070734359939e-05
"70",2.0023373479669e-06,-20.3540513558866,3.85353012385387e-05
"71",2.30685241587612e-06,-20.6167745996511,3.85173977922003e-05
"72",2.69199916505059e-06,-21.1588983207651,4.08435606621063e-05
"73",2.01440152158126e-06,-20.402917659168,3.98825654369446e-05
"74",2.91989421189739e-06,-19.9997800369606,3.7898528714559e-05
"75",2.03753273432906e-06,-21.0099156209147,4.08174201007687e-05
"76",7.41057341423907e-07,-21.4829609331082,4.27188746839761e-05
"77",2.23785607997278e-06,-21.2584769446188,3.98411975328479e-05
"78",2.64620510826802e-06,-20.8962986089821,3.99406550098723e-05
"79",1.91372391373581e-06,-20.0655340527906,3.89863743336514e-05
"80",2.53822974058146e-06,-19.9969403851466,3.78984383758833e-05
"81",2.79038788065837e-06,-20.8975791721858,4.02458617737668e-05
"82",2.36010868639065e-06,-20.7101715182438,3.97498022506926e-05
"83",2.74044238560477e-06,-21.4493999805394,4.0717651947715e-05
"84",1.22058526940366e-06,-19.1244996996805,3.89519616473249e-05
"85",2.87160190450496e-06,-21.0166706736323,4.00013521013441e-05
"86",1.6911048995535e-06,-20.9855096654593,4.06982272235676e-05
"87",2.12746908449459e-06,-21.708008933804,4.16795843201187e-05
"88",2.79129431983519e-06,-20.3227701401319,3.91975094316836e-05
"89",1.31536188664498e-06,-19.2923844315166,3.84544708018525e-05
"90",1.85732754135548e-06,-20.1376330862891,3.95238168942756e-05
"91",1.58526701154001e-06,-19.4102991235183,3.85522856143616e-05
"92",1.84252861871607e-06,-20.9028921699734,4.06845758002509e-05
"93",4.43782642708996e-07,-20.1256076116732,4.08700052482169e-05
"94",1.38837664094578e-06,-19.0325123712109,3.86586780516291e-05
"95",2.09715598526857e-06,-21.6496433519584,4.21920396596474e-05
