"","V1","V2","V3"
"1",1.03774023126282e-06,-8.38713109410678e-12,1.52684015913423e-05
"2",1.19099284281491e-07,-8.79776996820425e-12,1.61027649179975e-05
"3",1.75921143567495e-07,-8.87525535532072e-12,1.55754640517872e-05
"4",1.05626020794874e-06,-8.64461971297295e-12,1.53144547433079e-05
"5",1.6212936914942e-06,-9.35690895791398e-12,1.53743616989685e-05
"6",5.78982644483242e-07,-9.54650367633513e-12,1.64772806676799e-05
"7",9.81683320732759e-07,-7.62418964947938e-12,1.4134460696201e-05
"8",5.98971330251965e-07,-7.43159685113273e-12,1.36960085442089e-05
"9",1.01752725255036e-06,-7.15800141610532e-12,1.36325651425566e-05
"10",3.75771842224092e-07,-9.47744814536384e-12,1.58251845022278e-05
"11",3.93064302511828e-07,-8.82068388811546e-12,1.58644044126296e-05
"12",6.02339929624108e-07,-8.43301193885581e-12,1.51374738936297e-05
"13",6.63014150133808e-07,-8.38662597301009e-12,1.48745275626486e-05
"14",7.08662218352446e-07,-8.62303735695705e-12,1.49748504448945e-05
"15",1.20064792015417e-06,-7.90721112520725e-12,1.46026903589379e-05
"16",1.33963822904798e-06,-9.68935507300256e-12,1.51789026517535e-05
"17",-4.70973403392543e-07,-8.05385350381658e-12,1.55762576009247e-05
"18",1.19062787840286e-06,-9.07287641084415e-12,1.59105154887304e-05
"19",4.40487897894956e-07,-8.60761145066265e-12,1.49346247587798e-05
"20",-1.6579332477587e-07,-9.97287278140546e-12,1.73074523111139e-05
"21",1.33171083780269e-06,-9.66295195056657e-12,1.53363949008998e-05
"22",5.6403493515686e-07,-9.64874194434438e-12,1.62516512152619e-05
"23",5.94246415980313e-07,-8.3284518263277e-12,1.51037792316397e-05
"24",4.08118369909539e-07,-8.88074555217497e-12,1.61316096930304e-05
"25",5.59264482342548e-07,-8.69667627498349e-12,1.60700121123841e-05
"26",1.33651761634227e-07,-9.27282845422936e-12,1.65771293580399e-05
"27",1.2128282774727e-06,-8.64551932951752e-12,1.4593659085631e-05
"28",1.26993803858998e-06,-9.80503100641929e-12,1.63106723918867e-05
"29",1.45712338679556e-06,-8.63687193711061e-12,1.46076694190735e-05
"30",-4.32302498404645e-08,-7.84319905809742e-12,1.46512034411783e-05
"31",-6.81545031054748e-07,-7.90308284422173e-12,1.55136971183423e-05
"32",8.26291542557218e-07,-8.47925042263065e-12,1.51710949212527e-05
"33",6.65550331235181e-07,-9.02105072306233e-12,1.61885832266747e-05
"34",3.75259622167169e-07,-8.85802110213656e-12,1.54933253683578e-05
