"t.depth","t.mm"
43.259,4.0872
43.269,3.7156
43.272,2.2294
43.285,1.1147
43.301,1.8578
43.323,1.4862
43.327,1.8578
43.334,4.8303
43.341,0.74312
43.35,2.2294
43.376,2.6009
43.417,2.2294
43.423,2.6009
43.454,1.8578
43.463,2.9725
43.488,9.2891
43.492,1.8578
43.538,2.6555
43.548,3.9832
43.597,2.3899
43.609,2.1244
43.617,1.8588
43.631,1.8588
43.638,1.5933
43.653,2.3899
43.674,3.1865
43.679,1.3277
43.698,2.6555
43.702,2.921
43.716,1.8588
43.722,1.0622
43.734,3.1865
43.745,2.1244
43.752,1.5933
43.785,3.4521
43.801,1.5933
43.816,1.8588
43.822,2.6555
43.831,2.3899
43.835,1.3277
43.846,2.6555
43.867,11.95
43.87,3.9832
43.88,5.3109
43.909,9.8252
45.666,2.1255
45.821,2.3912
45.855,0.79707
45.865,1.3285
45.877,0.79707
45.894,1.5941
46.628,1.3246
47.645,1.0596
47.808,4.8214
48.336,1.8944
48.537,0.27062
48.621,2.165
48.642,1.8944
49.652,2.9657
49.946,0.53923
50.923,2.6525
51.295,2.122
51.524,1.6258
51.594,0.81292
51.72,2.4388
52.468,1.8968
53.516,2.127
55.911,2.9194
56.424,1.5924
56.62,1.5924
56.756,4.2464
60.392,0.79623
60.425,1.0616
60.532,1.5925
60.588,2.1233
60.593,1.0616
60.596,1.8579
60.603,1.327
60.982,1.0616
60.987,2.1233
64.678,1.7137
64.689,1.4689
64.698,0.97927
64.735,1.7137
64.737,1.7137
64.772,1.9585
64.775,1.2241
64.88,2.9378
64.883,2.2034
64.911,2.4482
64.92,3.6723
64.941,1.7137
64.946,2.693
64.949,1.9585
64.955,1.2241
64.962,3.4274
64.964,2.2034
64.968,1.4689
64.972,2.2034
64.975,1.9585
64.986,3.1826
64.989,1.9585
64.994,1.4689
65.01,3.9171
65.018,1.7137
65.028,3.1826
65.05,2.4482
65.058,2.693
65.152,3.1826
65.156,2.693
65.162,3.4274
65.19,1.7137
65.255,6.5121
70.994,2.6477
71.083,1.5886
71.135,1.3238
71.349,1.8534
71.393,1.8534
72.139,2.1153
74.06,0.5308
74.076,1.5924
74.667,0.5308
75.374,0.79093
76.86,2.9827
77.148,0.81348
77.19,0.54232
77.278,0.81348
77.436,2.1693
77.481,0.54232
77.487,0.54232
77.673,2.7116
77.728,0.81348
77.761,3.2539
77.789,1.5185
78.303,1.3143
78.381,4.4687
78.596,0.78859
78.618,2.8915
78.681,1.5772
78.8,4.4687
78.816,3.4172
78.832,1.84
78.937,2.8915
78.97,2.3658
78.98,0.78859
78.984,1.0515
78.989,0.78859
79.002,1.84
79.007,2.8915
79.017,4.4687
79.076,1.3143
79.09,1.5772
79.158,0.78859
79.166,0.78859
79.32,1.0673
80.293,1.9313
80.042,2.4404
80.059,1.0846
80.113,0.54232
80.124,0.81348
80.13,1.627
80.144,0.54232
80.167,1.3558
80.172,0.27116
80.178,1.0846
80.18,0.54232
80.452,0.54232
81.296,1.1389
81.319,0.75924
81.338,0.75924
81.396,1.5185
81.42,1.1389
81.608,0.24512
81.777,0.73536
81.786,0.98048
81.797,0.98048
81.802,1.4707
81.803,0.98048
81.81,0.73536
81.814,0.49024
81.827,0.73536
81.838,1.7158
81.852,0.49024
81.862,0.73536
81.935,0.49024
81.966,0.98048
82.02,0.98048
82.061,0.49024
82.095,0.49024
82.107,0.73536
82.13,0.73536
82.2,0.98048
82.204,0.98048
82.223,1.4707
82.224,1.4707
82.26,0.98048
82.261,0.49024
82.584,0.98048
82.613,1.2256
82.895,1.0295
83.119,1.5849
83.193,1.0566
83.225,1.3207
83.253,1.3207
83.285,1.0566
83.331,1.5849
83.423,1.0566
83.491,1.5849
84.592,1.5924
84.956,0.7962
85.051,1.0616
85.063,1.327
85.226,1.327
85.632,0.5308
85.644,1.327
85.74,0.7962
85.758,1.0616
85.784,1.0616
85.815,1.1147
85.851,0.74312
85.875,0.74312
85.893,0.74312
85.928,1.1147
86.173,1.0616
86.177,1.5924
86.187,0.5308
86.212,3.981
86.214,1.0616
86.222,3.981
86.228,0.7962
86.243,1.327
86.238,0.7962
86.253,6.635
86.259,2.1232
86.271,2.654
86.306,1.5924
86.332,3.4502
86.336,1.327
86.337,1.5924
86.355,2.654
86.369,1.8578
86.39,1.327
86.389,0.5308
86.393,1.5924
86.415,1.8578
86.433,1.8578
86.444,1.0616
86.455,1.0616
86.466,0.7962
86.473,1.0616
86.499,1.327
86.523,1.0616
86.525,0.7962
86.537,4.7772
86.544,1.5924
86.559,2.9194
86.581,0.5308
86.588,4.2464
86.593,1.0616
86.598,1.327
86.603,2.654
86.608,2.3886
86.612,2.1232
86.619,0.7962
87.938,0.80852
87.962,1.3475
87.999,1.078
88.323,4.0426
88.592,1.3475
88.61,1.078
88.624,1.3475
88.646,4.0426
88.673,1.078
88.68,1.078
88.683,0.53901
88.694,1.8865
88.709,1.078
88.721,2.4256
88.764,1.8865
88.773,1.8865
88.782,0.53901
88.792,1.8865
88.907,0.75462
89.082,2.3887
89.182,2.9195
89.199,2.3887
89.214,0.79624
89.327,2.3887
89.357,1.3271
89.381,1.0617
89.385,1.0617
89.397,1.8579
89.413,0.79624
89.418,0.79624
89.421,0.79624
89.447,4.512
89.452,1.0617
90.126,1.0644
90.161,0.26611
90.175,0.53222
90.184,0.26611
90.27,0.26611
90.282,0.53222
90.375,1.0644
90.406,0.26611
90.423,0.53222
90.439,2.395
90.452,1.8628
90.472,1.3305
90.478,1.3305
90.486,0.79832
90.511,2.395
91.474,1.6481
91.514,2.4722
92.394,0.38456
92.617,1.3803
92.622,1.1043
92.811,1.1043
92.847,0.55213
92.903,0.55213
92.918,0.55213
93.033,1.3803
93.037,0.8282
93.054,0.8282
93.06,0.27607
93.165,0.55213
93.218,0.8282
93.302,1.1043
93.46,0.55213
93.638,0.55213
93.68,0.55213
93.737,1.1043
93.768,0.8282
93.801,0.77298
93.935,0.77298
94.005,0.77298
94.012,0.77298
94.06,0.73457
94.079,0.97942
94.135,0.73457
94.142,0.73457
94.207,1.4691
94.22,5.142
94.319,0.73457
94.328,0.73457
94.34,3.1831
94.355,1.2243
94.365,0.73457
94.373,0.24486
94.379,0.48971
94.384,0.73457
94.395,0.73457
94.42,0.97942
94.424,0.73457
94.436,0.97942
94.452,0.73457
94.499,0.73457
94.513,0.73457
94.531,0.48971
94.546,0.24486
94.552,0.48971
94.57,0.24486
94.576,0.48971
94.643,0.24486
94.648,0.24486
94.67,0.48971
94.681,0.73457
94.734,0.97942
94.816,0.48971
94.867,0.48971
94.88,0.48971
94.888,0.48971
94.898,0.97942
94.906,0.48971
94.974,0.97942
94.988,0.97942
