Reference,Experiment,diam.cc,po4,po4.unc,radius,radius.unc,mui
Bidigare et al. (1997),photic zone,,0.65,,,,1.81E-05
Bidigare et al. (1997),photic zone,,0.6,,,,1.80E-05
Bidigare et al. (1997),photic zone,,0.64,,,,1.83E-05
Tolosa et al. (2008),photic zone,,0.12,,,,8.44E-06
Eek et al. (1999),photic zone,,0.85,,,,1.13E-05
Eek et al. (1999),photic zone,,0.89,,,,7.74E-06
Eek et al. (1999),photic zone,,0.38,,,,1.02E-05
Eek et al. (1999),photic zone,,0.34,,,,1.05E-05
Eek et al. (1999),photic zone,,0.78,,,,7.72E-06
Eek et al. (1999),photic zone,,0.46,,,,8.02E-06
Eek et al. (1999),photic zone,,0.33,,,,9.64E-06
Eek et al. (1999),photic zone,,0.9,,,,7.75E-06
Laws et al. (2001),photic zone,,0.41,,,,1.64E-05
Laws et al. (2001),photic zone,,0.43,,,,1.63E-05
Laws et al. (2001),photic zone,,0.2,,,,1.36E-05
Laws et al. (2001),photic zone,,0.25,,,,1.48E-05
Laws et al. (2001),photic zone,,0.32,,,,1.59E-05
Laws et al. (2001),photic zone,,0.35,,,,1.62E-05
Laws et al. (2001),photic zone,,0.34,,,,1.60E-05
Laws et al. (2001),photic zone,,0.5,,,,1.83E-05
Laws et al. (2001),photic zone,,0.33,,,,1.67E-05
Laws et al. (2001),photic zone,,0.3,,,,1.63E-05
Laws et al. (2001),photic zone,,0.27,,,,1.54E-05
Laws et al. (2001),photic zone,,0.55,,,,1.87E-05
Laws et al. (2001),photic zone,,0.39,,,,1.70E-05
Laws et al. (2001),photic zone,,0.58,,,,1.82E-05
Laws et al. (2001),photic zone,,1.48,,,,3.11E-06
Laws et al. (2001),photic zone,,1.38,,,,4.80E-06
Laws et al. (2001),photic zone,,0.73,,,,7.92E-06
Popp et al. (1999),photic zone,,1.59,,,,4.51E-06
Popp et al. (1999),photic zone,,1.59,,,,4.51E-06
Popp et al. (1999),photic zone,,1.65,,,,5.12E-06
Popp et al. (1999),photic zone,,1.6,,,,6.02E-06
Popp et al. (1999),photic zone,,1.4,,,,6.84E-06
Popp et al. (1999),photic zone,,1.31,,,,0.000006875
Popp et al. (1999),photic zone,,1.08,,,,6.77E-06
Popp et al. (1999),photic zone,,0.66,,,,6.59E-06
Popp et al. (1999),photic zone,,1.08,,,,7.85E-06
Popp et al. (1999),photic zone,,0.71,,,,8.73E-06
Popp et al. (1999),photic zone,,0.71,,,,8.73E-06
Popp et al. (1999),photic zone,,0.72,,,,9.41E-06
Popp et al. (1999),photic zone,,0.62,,,,1.03E-05
Popp et al. (1999),photic zone,,0.62,,,,1.03E-05
